,Credits,Debits,Transaction Type,Reference Type,Product,Balance,Time Stamp
,,0.0642691533406,Fee,Trade,CAD,1340.7340745703900,2020/03/23 12:49:59.107
,,142.039,Trade,Trade,XRP,721.08553502298,2020/03/23 12:49:59.107
,32.1345766703,,Trade,Trade,CAD,1340.7983437237300,2020/03/23 12:49:59.107
,,1.06531508702,Fee,Trade,XRP,863.12453502298,2020/03/23 12:33:09.019
,,123.96817590003500,Trade,Trade,CAD,1308.6637670534300,2020/03/23 12:33:09.019
,532.65754351,,Trade,Trade,XRP,864.18985011,2020/03/23 12:33:09.018
,,0.6643934,Fee,Trade,XRP,331.5323066,2020/03/23 12:33:09.017
,,76.821430313628,Trade,Trade,CAD,1432.6319429534600,2020/03/23 12:33:09.016
,332.1967,,Trade,Trade,XRP,332.1967,2020/03/23 12:33:09.016
,,0.837752129376084,Fee,Trade,CAD,1509.45337326709,2020/03/22 13:05:21.641
,,1.44591135,Trade,Trade,BCH,1.38e-09,2020/03/22 13:05:21.640
,418.876064688042,,Trade,Trade,CAD,1510.2911253964700,2020/03/22 13:05:21.640
,,0.0204181866,Fee,Trade,CAD,1091.415060708420,2020/03/22 13:05:21.639
,,0.035,Trade,Trade,BCH,1.44591135138,2020/03/22 13:05:21.639
,10.2090933,,Trade,Trade,CAD,1091.435478895020,2020/03/22 13:05:21.639
,,0.5200994364450260,Fee,Trade,CAD,1081.226385595020,2020/03/22 13:04:02.395
,,1.47299329,Trade,Trade,ETH,2.8476518e-09,2020/03/22 13:04:02.395
,260.0497182225130,,Trade,Trade,CAD,1081.746485031470,2020/03/22 13:04:02.395
,,0.013784690176,Fee,Trade,CAD,821.696766808956,2020/03/22 13:04:02.392
,,0.0388,Trade,Trade,ETH,1.472993292847650,2020/03/22 13:04:02.392
,6.892345088,,Trade,Trade,CAD,821.710551499132,2020/03/22 13:04:02.392
,,0.4590035183979960,Fee,Trade,CAD,814.818206411132,2020/03/22 13:02:47.838
,,2.44922854,Trade,Trade,DASH,6.2e-09,2020/03/22 13:02:47.838
,229.50175919899800,,Trade,Trade,CAD,815.2772099295300,2020/03/22 13:02:47.838
,,0.2189854707906,Fee,Trade,CAD,585.7754507305320,2020/03/22 13:02:47.837
,,1.1679,Trade,Trade,DASH,2.4492285462,2020/03/22 13:02:47.836
,109.4927353953,,Trade,Trade,CAD,585.9944362013220,2020/03/22 13:02:47.836
,,0.94843289444,Fee,Trade,CAD,476.50170080602200,2020/03/22 12:34:07.839
,,0.05449511,Trade,Trade,BTC,5.16e-09,2020/03/22 12:34:07.839
,474.21644722,,Trade,Trade,CAD,477.45013370046200,2020/03/22 12:34:07.838
,1.48091135,,Other,Deposit,BCH,1.48091135138,2020/03/21 19:42:12.050
,3.61712854,,Other,Deposit,DASH,3.6171285462,2020/03/21 18:14:46.221
,0.05449511,,Other,Deposit,BTC,0.05449511516,2020/03/21 18:12:11.999
,1.51179328876278,,Other,Deposit,ETH,1.5117932928476500,2020/03/21 18:02:19.464
,,0.005,Fee,Withdraw,ETH,4.0848718e-09,2020/03/20 21:46:11.272
,,1.51100443,Other,Withdraw,ETH,0.0050000040848718,2020/03/20 21:46:11.272
,,0.00294908502,Fee,Trade,ETH,1.5160044340848700,2020/03/20 21:38:28.174
,,288.1936713362620,Trade,Trade,CAD,3.233686480462350,2020/03/20 21:38:28.174
,1.47454251,,Trade,Trade,ETH,1.5189535191048700,2020/03/20 21:38:28.174
,,0.000089,Fee,Trade,ETH,0.0444110091048718,2020/03/20 21:38:28.172
,,8.64195696,Trade,Trade,CAD,291.42735781672400,2020/03/20 21:38:28.172
,0.0445,,Trade,Trade,ETH,0.0445000091048718,2020/03/20 21:38:28.172
,,0.0005,Fee,Withdraw,BTC,5.16e-09,2020/03/20 19:33:22.118
,,0.05446953,Other,Withdraw,BTC,0.00050000516,2020/03/20 19:33:22.118
,,0.005,Fee,Withdraw,DASH,6.2e-09,2020/03/20 19:23:52.498
,,1.90397452,Other,Withdraw,DASH,0.0050000062,2020/03/20 19:23:52.498
,,0.00011015938,Fee,Trade,BTC,0.05496953516,2020/03/20 19:11:33.005
,,499.999969851733,Trade,Trade,CAD,300.06931477672400,2020/03/20 19:11:33.004
,0.05507969,,Trade,Trade,BTC,0.05507969454,2020/03/20 19:11:33.004
,,0.00057560024,Fee,Trade,DASH,1.9089745262,2020/03/20 19:03:12.599
,,30.09328107377550,Trade,Trade,CAD,800.0692846284570,2020/03/20 19:03:12.599
,0.28780012,,Trade,Trade,DASH,1.90955012644,2020/03/20 19:03:12.599
,,0.00325,Fee,Trade,DASH,1.62175000644,2020/03/20 19:03:12.583
,,169.907976875,Trade,Trade,CAD,830.1625657022320,2020/03/20 19:03:12.583
,1.625,,Trade,Trade,DASH,1.62500000644,2020/03/20 19:03:12.583
,999.775,,Other,Deposit,CAD,1000.0705425772300,2020/03/20 17:59:52.771
,,0.0001,Fee,Withdraw,BCH,1.38e-09,2020/03/20 15:04:03.131
,,1.48091135,Other,Withdraw,BCH,0.00010000138,2020/03/20 15:04:03.131
,,0.005,Fee,Withdraw,DASH,6.44e-09,2020/03/20 15:00:43.845
,,1.71315402,Other,Withdraw,DASH,0.00500000644,2020/03/20 15:00:43.845
,,0.00008119444,Fee,Trade,DASH,1.71815402644,2020/03/19 18:32:10.270
,,4.0809718028646,Trade,Trade,CAD,0.29554257723243200,2020/03/19 18:32:10.267
,0.04059722,,Trade,Trade,DASH,1.71823522088,2020/03/19 18:32:10.267
,,0.0005232,Fee,Trade,DASH,1.67763800088,2020/03/19 18:32:10.266
,,26.2880670648,Trade,Trade,CAD,4.376514380097030,2020/03/19 18:32:10.265
,0.2616,,Trade,Trade,DASH,1.67816120088,2020/03/19 18:32:10.265
,,0.0028388,Fee,Trade,DASH,1.41656120088,2020/03/19 18:32:10.264
,,142.632780752,Trade,Trade,CAD,30.66458144489700,2020/03/19 18:32:10.264
,1.4194,,Trade,Trade,DASH,1.41940000088,2020/03/19 18:32:10.264
,,0.00290755862,Fee,Trade,BCH,1.48101135138,2020/03/19 18:22:08.524
,,492.9348841681820,Trade,Trade,CAD,173.29736219689700,2020/03/19 18:22:08.523
,1.45377931,,Trade,Trade,BCH,1.48391891,2020/03/19 18:22:08.523
,,0.0000604,Fee,Trade,BCH,0.0301396,2020/03/19 18:22:08.520
,,10.175343984,Trade,Trade,CAD,666.2322463650790,2020/03/19 18:22:08.519
,0.0302,,Trade,Trade,BCH,0.0302,2020/03/19 18:22:08.519
,,0.01625129880976240,Fee,Trade,CAD,676.4075903490790,2020/03/19 15:03:37.718
,,0.08731061,Trade,Trade,DASH,8.8e-10,2020/03/19 15:03:37.717
,8.12564940488122,,Trade,Trade,CAD,676.423841647889,2020/03/19 15:03:37.717
,,0.3345588045536,Fee,Trade,CAD,668.2981922430080,2020/03/19 15:03:37.716
,,1.7974,Trade,Trade,DASH,0.08731061088,2020/03/19 15:03:37.715
,167.2794022768,,Trade,Trade,CAD,668.6327510475610,2020/03/19 15:03:37.715
,,0.1167223824138,Fee,Trade,CAD,501.3533487707620,2020/03/19 15:03:37.712
,,0.6267,Trade,Trade,DASH,1.88471061088,2020/03/19 15:03:37.712
,58.3611912069,,Trade,Trade,CAD,501.4700711531750,2020/03/19 15:03:37.712
,,0.1043013596204,Fee,Trade,CAD,443.1088799462750,2020/03/19 15:03:37.710
,,0.5591,Trade,Trade,DASH,2.51141061088,2020/03/19 15:03:37.710
,52.1506798102,,Trade,Trade,CAD,443.21318130589600,2020/03/19 15:03:37.710
,,0.401323070214,Fee,Trade,CAD,391.0625014956960,2020/03/19 15:03:37.709
,,2.151,Trade,Trade,DASH,3.07051061088,2020/03/19 15:03:37.709
,200.661535107,,Trade,Trade,CAD,391.46382456591000,2020/03/19 15:03:37.709
,,0.03891003039219740,Fee,Trade,CAD,190.80228945891000,2020/03/19 14:36:54.401
,,0.34192723,Trade,Trade,LTC,5.62e-09,2020/03/19 14:36:54.401
,19.45501519609870,,Trade,Trade,CAD,190.84119948930200,2020/03/19 14:36:54.401
,,0.342,Fee,Trade,CAD,171.3861842932030,2020/03/19 14:36:54.399
,,3,Trade,Trade,LTC,0.34192723562,2020/03/19 14:36:54.399
,171,,Trade,Trade,CAD,171.72818429320300,2020/03/19 14:36:54.398
,3.34192723,,Other,Deposit,LTC,3.34192723562,2020/03/19 14:22:08.410
,,0.00160882256,Fee,Trade,DASH,5.22151061088,2020/03/19 12:17:38.860
,,77.99999959004340,Trade,Trade,CAD,0.728184293203192,2020/03/19 12:17:38.860
,0.80441128,,Trade,Trade,DASH,5.22311943344,2020/03/19 12:17:38.860
,,0.00225196218,Fee,Trade,DASH,4.41870815344,2020/03/19 11:45:53.027
,,102.43064050493600,Trade,Trade,CAD,78.72818388324660,2020/03/19 11:45:53.026
,1.12598109,,Trade,Trade,DASH,4.42096011562,2020/03/19 11:45:53.026
,,0.000592,Fee,Trade,DASH,3.29497902562,2020/03/19 11:45:53.025
,,26.925489336,Trade,Trade,CAD,181.1588243881830,2020/03/19 11:45:53.025
,0.296,,Trade,Trade,DASH,3.29557102562,2020/03/19 11:45:53.025
,,0.0015574,Fee,Trade,DASH,2.99957102562,2020/03/19 11:45:53.023
,,70.7689996585,Trade,Trade,CAD,208.0843137241830,2020/03/19 11:45:53.022
,0.7787,,Trade,Trade,DASH,3.00112842562,2020/03/19 11:45:53.022
,,0.00157896438,Fee,Trade,DASH,2.22242842562,2020/03/19 11:35:48.412
,,71.02952868494970,Trade,Trade,CAD,278.85331338268300,2020/03/19 11:35:48.412
,0.78948219,,Trade,Trade,DASH,2.22400739,2020/03/19 11:35:48.412
,,0.0028748,Fee,Trade,DASH,1.4345252,2020/03/19 11:35:48.412
,,129.0952887084,Trade,Trade,CAD,349.8828420676330,2020/03/19 11:35:48.412
,1.4374,,Trade,Trade,DASH,1.4374,2020/03/19 11:35:48.412
,,0.001,Fee,Withdraw,LTC,5.62e-09,2020/03/19 10:40:58.461
,,2.001,Other,Withdraw,LTC,0.00100000562,2020/03/19 10:40:58.461
,,0.001,Fee,Withdraw,LTC,2.00200000562,2020/03/18 19:27:15.186
,,1.34093563,Other,Withdraw,LTC,2.00300000562,2020/03/18 19:27:15.186
,,0.00235315316,Fee,Trade,LTC,3.34393563562,2020/03/18 19:22:10.112
,,59.99999979890320,Trade,Trade,CAD,478.97813077603300,2020/03/18 19:22:10.111
,1.17657658,,Trade,Trade,LTC,3.34628878878,2020/03/18 19:22:10.111
,,0.00328632064,Fee,Trade,LTC,2.16971220878,2020/03/18 19:19:15.487
,,83.67121712713090,Trade,Trade,CAD,538.9781305749360,2020/03/18 19:19:15.487
,1.64316032,,Trade,Trade,LTC,2.17299852942,2020/03/18 19:19:15.487
,,0.0010618,Fee,Trade,LTC,0.52983820942,2020/03/18 19:19:15.482
,,26.8617200748,Trade,Trade,CAD,622.6493477020670,2020/03/18 19:19:15.482
,0.5309,,Trade,Trade,LTC,0.53090000942,2020/03/18 19:19:15.482
,,0.884314724320644,Fee,Trade,CAD,649.5110677768670,2020/03/15 17:45:49.304
,,0.05832569,Trade,Trade,BTC,4.54e-09,2020/03/15 17:45:49.304
,442.157362160322,,Trade,Trade,CAD,650.3953825011870,2020/03/15 17:45:49.304
,,0.09605430576,Fee,Trade,CAD,208.23802034086500,2020/03/15 17:45:49.298
,,0.0063,Trade,Trade,BTC,0.05832569454,2020/03/15 17:45:49.289
,48.02715288,,Trade,Trade,CAD,208.33407464662500,2020/03/15 17:45:49.289
,,0.0001295104,Fee,Trade,BTC,0.06462569454,2020/03/13 16:54:11.077
,,499.99996917568,Trade,Trade,CAD,160.30692176662500,2020/03/13 16:54:11.072
,0.0647552,,Trade,Trade,BTC,0.06475520494,2020/03/13 16:54:11.072
,,1.312652506772830,Fee,Trade,CAD,660.3068909423050,2020/03/13 06:32:20.712
,,0.08519309,Trade,Trade,BTC,4.94e-09,2020/03/13 06:32:20.702
,656.326253386414,,Trade,Trade,CAD,661.6195434490780,2020/03/13 06:32:20.702
,,0.00017072764,Fee,Trade,BTC,0.08519309494,2020/03/13 00:54:21.993
,,599.999998018407,Trade,Trade,CAD,5.293290062664150,2020/03/13 00:54:21.991
,0.08536382,,Trade,Trade,BTC,0.08536382258,2020/03/13 00:54:21.991
,,0.0573169170099372,Fee,Trade,CAD,605.2932880810710,2020/03/12 23:07:20.956
,,0.18128706,Trade,Trade,ETH,9.1048718e-09,2020/03/12 23:07:20.956
,28.6584585049686,,Trade,Trade,CAD,605.350604998081,2020/03/12 23:07:20.956
,0.106210029250094,,Other,Deposit,ETH,0.1812870691048720,2020/03/12 23:06:01.767
,0.0750770302666578,,Other,Deposit,ETH,0.0750770398547778,2020/03/12 23:04:49.949
,,0.888813284576868,Fee,Trade,CAD,576.6921464931130,2020/03/12 23:00:50.516
,,0.06559226,Trade,Trade,BTC,2.58e-09,2020/03/12 23:00:50.516
,444.406642288434,,Trade,Trade,CAD,577.5809597776890,2020/03/12 23:00:50.516
,,0.00007858298,Fee,Trade,BTC,0.06559226258,2020/03/12 22:46:47.360
,,300.2282612748200,Trade,Trade,CAD,133.17431748925500,2020/03/12 22:46:47.360
,0.03929149,,Trade,Trade,BTC,0.06567084556,2020/03/12 22:46:47.360
,,0.00005286442,Fee,Trade,BTC,0.02637935556,2020/03/12 22:45:52.021
,,199.999980413471,Trade,Trade,CAD,433.40257876407500,2020/03/12 22:45:52.021
,0.02643221,,Trade,Trade,BTC,0.02643221998,2020/03/12 22:45:52.021
,,0.03412464,Fee,Trade,CAD,633.4025591775460,2020/03/12 20:07:31.592
,,0.00284372,Trade,Trade,BTC,9.98e-09,2020/03/12 20:07:31.587
,17.06232,,Trade,Trade,CAD,633.4366838175460,2020/03/12 20:07:31.587
,,0.00000569884,Fee,Trade,BTC,0.00284372998,2020/03/12 19:54:16.219
